Round,Rank,Points
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,10,3
2,10,3
2,10,3
2,10,3
2,10,3
2,10,3
2,10,3
2,3,6
2,3,6
2,3,6
2,3,6
3,3,6
3,3,6
3,3,6
3,3,6
3,3,6
3,3,6
3,3,6
3,1,9
3,1,9
3,1,9
4,1,9
4,1,9
4,1,9
4,1,9
4,1,9
4,1,9
4,1,9
4,1,9
4,1,9
4,1,9
5,1,9
5,1,9
5,1,9
5,1,9
5,1,9
5,1,9
5,1,9
5,1,9
5,1,9
5,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,11,9
6,11,9
7,11,9
7,11,9
7,11,9
7,11,9
7,11,9
7,11,9
7,11,9
7,8,12
7,8,12
7,8,12
8,8,12
8,8,12
8,8,12
8,8,12
8,8,12
8,8,12
8,8,12
8,8,12
8,5,15
8,5,15
9,5,15
9,5,15
9,5,15
9,5,15
9,5,15
9,5,15
9,5,15
9,6,15
9,6,15
9,6,15
10,6,15
10,6,15
10,6,15
10,6,15
10,6,15
10,6,15
10,8,15
10,8,15
10,8,15
10,8,15
11,8,15
11,8,15
11,8,15
11,8,15
11,8,15
11,8,15
11,8,15
11,9,16
11,9,16
11,9,16
12,9,16
12,9,16
12,9,16
12,9,16
12,9,16
12,9,16
12,9,16
12,9,16
12,9,16
12,7,19
13,7,19
13,7,19
13,7,19
13,7,19
13,7,19
13,7,19
13,7,19
13,7,19
13,7,19
14,7,19
14,7,19
14,7,19
14,7,19
14,7,19
14,7,19
14,7,19
14,7,19
14,6,22
14,6,22
15,6,22
15,6,22
15,6,22
15,6,22
15,6,22
15,5,25
15,5,25
15,5,25
15,5,25
15,5,25
16,5,25
16,5,25
16,5,25
16,5,25
16,5,25
16,5,25
16,5,25
16,5,25
16,5,25
17,5,25
17,5,25
17,5,25
17,5,25
17,5,25
17,5,25
17,5,25
18,5,25
18,5,25
18,5,25
18,7,26
19,7,26
19,5,29
19,5,29
19,5,29
19,5,29
19,5,29
19,5,29
20,5,29
20,5,29
20,6,30
20,6,30
20,6,30
20,6,30
20,6,30
21,6,30
21,5,33
21,5,33
21,5,33
21,5,33
21,5,33
21,5,33
21,5,33
18,5,33
18,5,33
22,5,33
22,5,33
22,5,33
22,5,33
22,5,33
22,5,33
22,5,33
22,5,33
24,5,33
17,5,36
17,5,36
23,5,36
23,5,36
23,5,36
23,5,36
23,5,36
23,5,36
23,5,36
23,5,36
23,5,36
23,7,36
17,7,36
24,7,36
24,7,36
24,7,36
24,7,36
24,7,36
24,7,36
24,7,36
24,7,36
24,7,36
25,7,36
25,7,36
25,7,36
25,7,36
25,7,36
25,8,36
25,8,36
25,8,36
25,8,36
18,8,36
26,8,36
26,8,36
26,8,36
26,8,36
26,8,36
26,8,36
26,8,36
26,7,39
26,7,39
26,7,39
18,7,39
13,8,39
19,8,39
20,8,39
27,8,39
27,7,42
27,7,42
27,7,42
27,7,42
27,7,42
27,7,42
27,7,42
22,7,42
28,7,42
28,7,42
28,7,42
28,7,42
28,7,42
28,7,42
28,7,42
28,7,42
28,7,42
28,7,45
19,7,45
30,7,45
21,7,45
20,7,45
29,7,45
29,7,45
29,7,45
29,7,45
29,7,45
29,7,45
29,7,45
29,7,45
29,7,45
29,7,45
16,7,48
27,7,48
20,7,48
30,7,48
30,7,48
30,7,48
30,5,51
31,5,51
31,5,51
31,5,51
31,5,51
31,5,51
31,5,51
31,5,51
31,5,51
31,5,54
31,5,54
19,5,54
32,5,54
32,5,54
32,5,54
32,5,54
32,5,54
32,4,57
32,4,57
32,4,57
32,4,57
32,4,57
33,4,57
33,4,57
33,4,57
33,4,57
33,4,57
33,4,57
30,4,57
18,4,57
30,4,57
25,4,57
30,4,57
30,4,57
34,4,57
34,4,57
34,4,57
34,4,57
34,5,58
34,5,58
34,5,58
34,5,58
34,5,58
34,5,58
37,5,58
35,5,58
35,5,58
35,5,58
35,5,58
35,5,58
35,5,58
35,5,58
35,4,61
35,4,61
35,4,61
36,4,61
36,4,61
36,4,61
36,4,61
36,4,61
36,5,62
36,5,62
36,5,62
36,5,62
36,5,62
33,5,62
33,5,62
30,5,62
21,5,62
33,5,62
22,5,65
37,4,68
37,4,68
37,4,68
37,4,68
37,4,68
37,4,68
37,4,68
37,4,68
37,4,68
33,4,68
18,4,68
27,4,68
38,4,71
38,4,71
38,4,71
38,4,71
38,4,71
38,4,71
38,4,71
38,4,71
38,4,71
38,4,71
